# Questions for az-900 certification (azure fundamentals)
# Question, Answer, Extra Info
# do not include extraneous commas in the fields - use semicolons if needed
Azure Blob Storage Cool/Cold/Archive tiers: at least ?/?/? days?, 30/90/180, All four tiers can be set at the blob level; during or after upload. Only Hot/Cool/Cold can be set at the account level
Data in the cool and cold access tiers can tolerate slightly lower?, availability, But cool/cold data still requires high durability; retrieval latency; and throughput characteristics similar to hot data. (doesn't have to be up all the time but when you need it you want it now)
SMB Azure file shares can be cached on Windows Servers using?, Azure File Sync, a service that allows you to centralize your file shares in Azure Files while keeping the flexibility; performance; and compatibility of an on-premises file server.
Each individual Azure Queue message can be up to ? in size?, 64KB, Azure Queue Storage is a service for storing large numbers of messages that can be accessed from anywhere in the world via authenticated calls using HTTP or HTTPS
Acronym for defense in depth layers?, PIPNCAD, Physical Security / Identity & Access / Perimeter / Network / Compute Application / Data
CSPM Meaning?, Cloud Security Posture Management, a category of security tools that help organizations identify and remediate risks in their cloud environments; it provides continuous monitoring; assessment; and compliance management for cloud resources and configurations.
Perform anomaly detection on your Azure activity logs using the native integration with?, Defender for Cloud Apps, Defender for Cloud Apps (formerly Microsoft Cloud App Security) is a cloud access security broker (CASB) that provides visibility; control; and threat protection for cloud applications.
Defender for Cloud helps you detect threats across: ?/?/?, PaaS/Data/Networks, Azure services including Azure App Service; Azure SQL; Azure Storage Account; and more data services. Automatically classify your data in Azure SQL & get vulnerability assessments of SQL and Storage; also network defenses.
Defender for Cloud; 3 things it do for security?, Assess/Secure/Defend, Continuously assess – Know your security posture. Identify and track vulnerabilities. Secure – Harden resources and services with Azure Security Benchmark. Defend – Detect and resolve threats to resources; workloads; and services.
provides a set of guidelines for security and compliance best practices based on common compliance frameworks, Azure Security Benchmark, Recommendations help you reduce the attack surface across each of your resources are supported by Azure Security Benchmark
Bandwidth refers to data moving in and out of Azure datacenters. Which can sometimes be free?, Inbound, For outbound data transfers (data leaving Azure datacenters); data transfer pricing is based on zones; A zone is a geographical grouping of Azure regions for billing purposes.
Acronym for the 5 sections of Azure Advisor?, SPROC, Security; Performance; Reliability; Operational Excellence; Cost
Acronym for the 3 levels of Service Health view?, ASR, Azure Status; Service Health; Resource Health
Tool where you write and run queries against the data Azure Monitor collects, Log Analytics, Azure Log Analytics; it uses a powerful query language called Kusto Query Language (KQL) to analyze and visualize your monitoring data.
Three things you are always responsible for when using a cloud provider?, data/devices/accounts, info and data stores; devices allowed to connect; accounts and identities of people/services/devices in your org.
Three things the cloud provider is always responsible for?, datacenter/network/hosts, physical security; network infrastructure; host hardware and virtualization layer.
Adding more CPU's or RAM to a virtual machine is an example of:, vertical scaling, vertical scaling (or scaling up) means increasing or decreasing the capabilities of resources
Adding additional virtual machines or containers is an example of:, horizontal scaling, horizontal scaling (or scaling out) means adding (or subtracting) more instances of resources
Two types of predictability in MS Azure Well-Architechted Framework ?/?, performance/cost, Performance predictability ensures that your applications consistently meet performance requirements under varying loads; Cost predictability helps you manage and forecast your cloud expenses effectively.
Term for feature that can deploy additional resources to meet the demand, autoscaling, Autoscaling automatically adjusts the number of active servers or resources based on current demand; ensuring optimal performance and cost-efficiency.
Feature/tools often available in cloud environments to help better plan resource deployments, data analytics, Data analytics tools can analyze historical usage patterns and predict future resource needs; helping organizations optimize their cloud deployments.
What item in shared responsibility has a hard line down the middle and is never iffy?, OS, On-Prem and IaaS = YOU / PaaS and SaaS = Cloud Provider
Azure has a cloud based solution for this virtualization platform, VMWare, Azure VMware Solution (AVS) is a service that allows you to run your VMware workloads natively on Azure; it provides a seamless migration path for VMware-based applications and workloads to the cloud.
Term focusing on the speed and ease of allocating and deallocating resources, Agility, Agility refers to the speed and ease while Elasticity is more about the automatic scaling of resources based on demand.
